status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate,target_depth
completed,17,9,27,"{""h"": 14, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-qflm54ad59wxcy2u7eh2,"{""000"": 3, ""100"": 2, ""101"": 3, ""111"": 2}",0.3,17
completed,17,5,17,"{""cx"": 5, ""h"": 4, ""y"": 4, ""barrier"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-iqmn90zao8bzty4l5zfi,"{""0"": 7, ""1"": 3}",0.7,17
completed,19,5,19,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""x"": 2, ""y"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-w2uvmqqrq2d9mv9tiwd1,"{""0"": 7, ""1"": 3}",0.7,19
completed,19,7,28,"{""h"": 10, ""cx"": 7, ""barrier"": 4, ""sdg"": 3, ""s"": 3, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-uzin5on9mwdc3fqats6o,"{""00"": 2, ""01"": 1, ""10"": 2, ""11"": 5}",0.2,19
completed,19,9,33,"{""h"": 10, ""cx"": 9, ""x"": 4, ""z"": 4, ""barrier"": 4, ""measure"": 3, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-nf00jx7tqsnwn1aupd6p,"{""000"": 5, ""011"": 2, ""100"": 1, ""111"": 2}",0.5,19
completed,19,11,34,"{""h"": 14, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""x"": 2, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-xcfkxdjguiak95fp88je,"{""0000"": 3, ""0001"": 1, ""0100"": 1, ""0101"": 1, ""1000"": 1, ""1110"": 1, ""1111"": 2}",0.3,19
completed,19,5,19,"{""cx"": 5, ""h"": 4, ""y"": 4, ""barrier"": 4, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-thy9zo78703rhvw708cb,"{""0"": 8, ""1"": 2}",0.8,19
completed,19,7,28,"{""h"": 8, ""cx"": 7, ""z"": 4, ""barrier"": 4, ""x"": 2, ""sdg"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-ke4442vg209tvqun0paw,"{""00"": 3, ""01"": 1, ""10"": 3, ""11"": 3}",0.3,19
completed,19,9,33,"{""h"": 10, ""cx"": 9, ""x"": 4, ""barrier"": 4, ""measure"": 3, ""sdg"": 2, ""z"": 2, ""s"": 2, ""cz"": 1}",6,3,0,0,False,False,3,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-v2ba8glygd33giuswqvk,"{""000"": 4, ""010"": 2, ""011"": 1, ""101"": 1, ""110"": 1, ""111"": 1}",0.4,19
completed,19,11,34,"{""h"": 14, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""x"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",7,4,0,0,False,False,4,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-jpaeu700jtldrgg8ert5,"{""0000"": 1, ""0001"": 1, ""0010"": 2, ""0100"": 1, ""0101"": 1, ""1100"": 2, ""1110"": 1, ""1111"": 1}",0.1,19
completed,19,5,19,"{""cx"": 5, ""h"": 4, ""y"": 4, ""barrier"": 4, ""x"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-t7i84mzib2sgeq97ioem,"{""0"": 9, ""1"": 1}",0.9,19
completed,19,7,28,"{""h"": 8, ""cx"": 7, ""y"": 6, ""barrier"": 4, ""sdg"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-5pddvt45ejrq9im4hx2h,"{""00"": 3, ""01"": 2, ""10"": 1, ""11"": 4}",0.3,19
completed,21,5,21,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""z"": 2, ""y"": 2, ""x"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-3tpofskc9prbyjw3ochj,"{""0"": 8, ""1"": 2}",0.8,21
completed,21,7,32,"{""h"": 10, ""cx"": 7, ""barrier"": 4, ""s"": 3, ""sdg"": 3, ""y"": 2, ""x"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,8,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-qh8p14hwkqpacjprkxv1,"{""00"": 4, ""01"": 1, ""11"": 5}",0.4,21
completed,21,9,39,"{""cx"": 9, ""h"": 8, ""z"": 6, ""y"": 4, ""barrier"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-zhq8srh7h0xmniuuy9o9,"{""000"": 5, ""010"": 1, ""011"": 2, ""110"": 1, ""111"": 1}",0.5,21
completed,21,11,42,"{""h"": 12, ""cx"": 11, ""s"": 5, ""sdg"": 5, ""barrier"": 4, ""measure"": 4, ""z"": 2, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,8,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-toe5q38a1ru6of7z69if,"{""0000"": 1, ""0001"": 2, ""0101"": 1, ""1011"": 1, ""1100"": 1, ""1101"": 4}",0.1,21
completed,21,13,41,"{""h"": 16, ""cx"": 13, ""measure"": 5, ""barrier"": 4, ""s"": 2, ""z"": 2, ""sdg"": 2, ""cz"": 1}",8,5,0,0,False,False,5,5,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-e5b885hayoa2dv7bsh62,"{""00001"": 1, ""00111"": 1, ""01001"": 1, ""01011"": 1, ""01101"": 1, ""10111"": 2, ""11011"": 1, ""11101"": 1, ""11111"": 1}",0.0,21
completed,21,5,21,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""sdg"": 3, ""s"": 3, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-zufp395jswwhthnunmje,"{""0"": 9, ""1"": 1}",0.9,21
completed,21,7,32,"{""h"": 8, ""cx"": 7, ""x"": 4, ""barrier"": 4, ""s"": 3, ""sdg"": 3, ""z"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,8,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-umeyirkkcdz0uo0v9dgi,"{""00"": 2, ""01"": 2, ""10"": 1, ""11"": 5}",0.2,21
completed,21,9,39,"{""cx"": 9, ""h"": 8, ""x"": 6, ""y"": 4, ""sdg"": 4, ""s"": 4, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,9,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-wba68g7g3u53rxldt63z,"{""000"": 7, ""010"": 1, ""011"": 1, ""111"": 1}",0.7,21
completed,21,11,42,"{""h"": 18, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""sdg"": 2, ""z"": 2, ""x"": 2, ""s"": 2, ""cz"": 1}",7,4,0,0,False,False,4,8,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-zsmbp21pi35qhd9xlmw0,"{""0000"": 1, ""0011"": 2, ""0101"": 1, ""1001"": 1, ""1011"": 1, ""1100"": 1, ""1101"": 1, ""1110"": 1, ""1111"": 1}",0.1,21
completed,21,13,41,"{""cx"": 13, ""h"": 12, ""measure"": 5, ""x"": 4, ""barrier"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1}",8,5,0,0,False,False,5,5,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-t36byau9zzuyr8tf3k7n,"{""00000"": 1, ""00010"": 1, ""00011"": 1, ""00101"": 1, ""01000"": 1, ""10011"": 1, ""11000"": 1, ""11011"": 1, ""11100"": 2}",0.1,21
completed,23,5,23,"{""h"": 6, ""cx"": 5, ""y"": 4, ""barrier"": 4, ""s"": 2, ""x"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-i2yndd0ploso9kbg3ks9,"{""0"": 6, ""1"": 4}",0.6,23
