status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,19,7,28,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""x"": 4, ""y"": 4, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,14
completed,19,7,28,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,15
completed,19,7,28,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,16
completed,19,7,28,"{""z"": 8, ""cx"": 7, ""h"": 6, ""barrier"": 6, ""y"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,17
completed,19,7,28,"{""h"": 10, ""cx"": 7, ""barrier"": 6, ""y"": 4, ""x"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,18
completed,19,7,28,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""z"": 4, ""sdg"": 2, ""y"": 2, ""x"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,19
completed,19,7,28,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""s"": 3, ""sdg"": 3, ""z"": 2, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,fixed_payload_experiments,"{""00"": 1024}",1.0,20
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""x"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 3, ""s"": 2, ""y"": 2, ""sdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,1
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""y"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 3, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,2
completed,21,9,39,"{""h"": 12, ""y"": 10, ""cx"": 9, ""barrier"": 6, ""x"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,3
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""y"": 8, ""barrier"": 6, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,4
