status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,target_depth
completed,19,5,19,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""s"": 3, ""sdg"": 3, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,simulation,target_depth_experiment,"{""0"": 1024}",1.0,19
completed,19,7,28,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""z"": 4, ""sdg"": 2, ""y"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,target_depth_experiment,"{""00"": 1024}",1.0,19
completed,21,5,21,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""sdg"": 3, ""s"": 3, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5,simulation,target_depth_experiment,"{""0"": 1024}",1.0,21
completed,21,7,32,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""x"": 4, ""s"": 3, ""sdg"": 3, ""z"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,8,simulation,target_depth_experiment,"{""00"": 1024}",1.0,21
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""barrier"": 6, ""z"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""x"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,target_depth_experiment,"{""000"": 1024}",1.0,21
completed,21,11,42,"{""h"": 12, ""cx"": 11, ""barrier"": 6, ""s"": 4, ""sdg"": 4, ""z"": 4, ""measure"": 4, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,8,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,21
completed,21,13,41,"{""cx"": 13, ""h"": 12, ""x"": 6, ""barrier"": 6, ""measure"": 5, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",8,5,0,0,False,False,5,5,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,21
completed,21,5,21,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""x"": 4, ""y"": 2, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5,simulation,target_depth_experiment,"{""0"": 1024}",1.0,21
completed,21,7,32,"{""h"": 16, ""cx"": 7, ""barrier"": 6, ""y"": 4, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,8,simulation,target_depth_experiment,"{""00"": 1024}",1.0,21
completed,21,9,39,"{""cx"": 9, ""h"": 8, ""z"": 6, ""barrier"": 6, ""s"": 4, ""sdg"": 4, ""measure"": 3, ""x"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,target_depth_experiment,"{""000"": 1024}",1.0,21
completed,21,11,42,"{""h"": 14, ""cx"": 11, ""z"": 6, ""barrier"": 6, ""y"": 4, ""measure"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1}",7,4,0,0,False,False,4,8,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,21
completed,21,13,41,"{""h"": 14, ""cx"": 13, ""barrier"": 6, ""measure"": 5, ""sdg"": 2, ""x"": 2, ""z"": 2, ""s"": 2, ""cz"": 1}",8,5,0,0,False,False,5,5,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,21
completed,23,5,23,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""z"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,6,simulation,target_depth_experiment,"{""0"": 1024}",1.0,23
completed,23,7,36,"{""h"": 10, ""z"": 8, ""cx"": 7, ""barrier"": 6, ""x"": 4, ""y"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10,simulation,target_depth_experiment,"{""00"": 1024}",1.0,23
completed,23,9,45,"{""h"": 12, ""x"": 10, ""cx"": 9, ""barrier"": 6, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""z"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,12,simulation,target_depth_experiment,"{""000"": 1024}",1.0,23
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""z"": 6, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""measure"": 4, ""y"": 2, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,23
completed,23,13,51,"{""h"": 16, ""cx"": 13, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""y"": 4, ""x"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1}",8,5,0,0,False,False,5,10,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,23
completed,23,5,23,"{""h"": 8, ""barrier"": 6, ""cx"": 5, ""x"": 4, ""sdg"": 2, ""s"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,6,simulation,target_depth_experiment,"{""0"": 1024}",1.0,23
completed,23,7,36,"{""h"": 8, ""cx"": 7, ""s"": 6, ""y"": 6, ""sdg"": 6, ""barrier"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10,simulation,target_depth_experiment,"{""00"": 1024}",1.0,23
completed,23,9,45,"{""h"": 10, ""cx"": 9, ""x"": 8, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""measure"": 3, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,12,simulation,target_depth_experiment,"{""000"": 1024}",1.0,23
completed,23,11,50,"{""h"": 16, ""cx"": 11, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""z"": 4, ""measure"": 4, ""x"": 2, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,23
completed,23,13,51,"{""cx"": 13, ""h"": 12, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""sdg"": 4, ""s"": 4, ""y"": 4, ""x"": 2, ""cz"": 1}",8,5,0,0,False,False,5,10,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,23
completed,25,5,25,"{""y"": 6, ""x"": 6, ""barrier"": 6, ""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7,simulation,target_depth_experiment,"{""0"": 1024}",1.0,25
completed,25,7,40,"{""h"": 8, ""x"": 8, ""cx"": 7, ""barrier"": 6, ""z"": 4, ""y"": 4, ""sdg"": 3, ""s"": 3, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,12,simulation,target_depth_experiment,"{""00"": 1024}",1.0,25
completed,25,9,51,"{""z"": 12, ""h"": 10, ""cx"": 9, ""s"": 6, ""sdg"": 6, ""barrier"": 6, ""measure"": 3, ""x"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,15,simulation,target_depth_experiment,"{""000"": 1024}",1.0,25
completed,25,11,58,"{""h"": 18, ""cx"": 11, ""s"": 8, ""sdg"": 8, ""z"": 6, ""barrier"": 6, ""measure"": 4, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,16,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,25
completed,25,13,61,"{""h"": 20, ""cx"": 13, ""x"": 8, ""y"": 8, ""barrier"": 6, ""measure"": 5, ""s"": 3, ""sdg"": 3, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,25
completed,25,5,25,"{""h"": 8, ""barrier"": 6, ""cx"": 5, ""s"": 4, ""sdg"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7,simulation,target_depth_experiment,"{""0"": 1024}",1.0,25
completed,25,7,40,"{""h"": 10, ""cx"": 7, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""x"": 4, ""z"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,12,simulation,target_depth_experiment,"{""00"": 1024}",1.0,25
completed,25,9,51,"{""h"": 12, ""cx"": 9, ""s"": 7, ""sdg"": 7, ""x"": 6, ""barrier"": 6, ""y"": 4, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,15,simulation,target_depth_experiment,"{""000"": 1024}",1.0,25
completed,25,11,58,"{""h"": 16, ""cx"": 11, ""y"": 8, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 4, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,16,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,25
completed,25,13,61,"{""h"": 16, ""cx"": 13, ""z"": 8, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""measure"": 5, ""y"": 4, ""x"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,25
completed,27,5,27,"{""h"": 8, ""barrier"": 6, ""cx"": 5, ""z"": 4, ""x"": 4, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,8,simulation,target_depth_experiment,"{""0"": 1024}",1.0,27
completed,27,7,44,"{""h"": 14, ""z"": 10, ""cx"": 7, ""barrier"": 6, ""y"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,14,simulation,target_depth_experiment,"{""00"": 1024}",1.0,27
completed,27,9,57,"{""h"": 12, ""cx"": 9, ""z"": 8, ""y"": 6, ""s"": 6, ""x"": 6, ""sdg"": 6, ""barrier"": 6, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,18,simulation,target_depth_experiment,"{""000"": 1024}",1.0,27
