status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,target_depth,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,19,13,61,"{""cx"": 13, ""h"": 12, ""x"": 12, ""u"": 8, ""measure"": 5, ""s"": 3, ""sdg"": 3, ""y"": 2, ""t"": 1, ""cz"": 1, ""tdg"": 1}",8,5,0,0,False,False,5,15,ibm,target_depth_experiment,"{""00100"": 83, ""00101"": 102, ""00111"": 160, ""01001"": 305, ""01011"": 120, ""00001"": 275, ""10000"": 149, ""10110"": 88, ""11000"": 234, ""10001"": 197, ""01000"": 148, ""01110"": 122, ""01111"": 134, ""11111"": 128, ""11001"": 183, ""11011"": 81, ""00010"": 58, ""10011"": 102, ""00110"": 102, ""01101"": 140, ""00000"": 129, ""01100"": 94, ""11100"": 70, ""11101"": 138, ""11110"": 117, ""11010"": 80, ""10010"": 65, ""10111"": 109, ""10101"": 124, ""00011"": 101, ""01010"": 77, ""10100"": 81}",0.031494140625,cz6v1qyh0kc00089bjxg,ibm_brisbane,25,2.0,2.0,completed,0.031494140625,2025-03-09T15:16:47.496Z,2025-03-09T15:16:54.467Z,2025-03-09T15:16:50.178Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:16:51', stop='2025-03-09 15:16:53', size=4096>)])",2.006336
completed,19,5,25,"{""cx"": 5, ""h"": 4, ""t"": 4, ""tdg"": 4, ""y"": 2, ""u"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7,ibm,target_depth_experiment,"{""0"": 2551, ""1"": 1545}",0.622802734375,cz6v1yq39f40008svsm0,ibm_kyiv,25,2.0,2.0,completed,0.622802734375,2025-03-09T15:17:14.228Z,2025-03-09T15:17:20.415Z,2025-03-09T15:17:16.435Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:17:17', stop='2025-03-09 15:17:19', size=4096>)])",1.875767
completed,19,7,40,"{""y"": 10, ""cx"": 7, ""h"": 6, ""s"": 3, ""sdg"": 3, ""t"": 2, ""u"": 2, ""x"": 2, ""tdg"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,12,ibm,target_depth_experiment,"{""10"": 411, ""11"": 2196, ""00"": 934, ""01"": 555}",0.22802734375,cz6v24010wx0008bydb0,ibm_brisbane,25,2.0,2.0,completed,0.22802734375,2025-03-09T15:17:37.106Z,2025-03-09T15:18:22.312Z,2025-03-09T15:17:40.005Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:18:19', stop='2025-03-09 15:18:21', size=4096>)])",1.8716300000000001
completed,19,9,51,"{""cx"": 9, ""h"": 8, ""u"": 6, ""x"": 6, ""y"": 4, ""s"": 4, ""sdg"": 4, ""t"": 3, ""tdg"": 3, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,15,ibm,target_depth_experiment,"{""100"": 1019, ""001"": 230, ""000"": 1570, ""010"": 257, ""011"": 261, ""110"": 252, ""101"": 225, ""111"": 282}",0.38330078125,cz6v2mtkvm9g008gnq5g,ibm_brisbane,25,2.0,2.0,completed,0.38330078125,2025-03-09T15:18:43.468Z,2025-03-09T15:18:49.665Z,2025-03-09T15:18:46.255Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:18:46', stop='2025-03-09 15:18:48', size=4096>)])",1.9161139999999999
completed,19,11,58,"{""cx"": 11, ""h"": 10, ""y"": 8, ""x"": 8, ""s"": 5, ""sdg"": 5, ""measure"": 4, ""u"": 2, ""t"": 2, ""tdg"": 2, ""cz"": 1}",7,4,0,0,False,False,4,16,ibm,target_depth_experiment,"{""1111"": 227, ""0100"": 567, ""0001"": 157, ""1100"": 359, ""0111"": 307, ""0000"": 746, ""1000"": 520, ""1001"": 233, ""1110"": 78, ""0011"": 121, ""0101"": 146, ""1010"": 100, ""0110"": 125, ""1011"": 167, ""0010"": 86, ""1101"": 157}",0.18212890625,cz6v2tb1xvhg008ep6k0,ibm_brisbane,25,2.0,2.0,completed,0.18212890625,2025-03-09T15:19:06.029Z,2025-03-09T15:19:17.638Z,2025-03-09T15:19:08.913Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:19:14', stop='2025-03-09 15:19:16', size=4096>)])",1.946869
completed,19,13,61,"{""cx"": 13, ""h"": 12, ""y"": 10, ""x"": 8, ""measure"": 5, ""u"": 4, ""s"": 2, ""t"": 2, ""tdg"": 2, ""sdg"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,ibm,target_depth_experiment,"{""10100"": 94, ""10011"": 142, ""01001"": 99, ""10001"": 73, ""01010"": 191, ""01110"": 165, ""00010"": 166, ""11101"": 158, ""11100"": 190, ""00001"": 64, ""10101"": 123, ""00000"": 152, ""10000"": 59, ""11011"": 92, ""00101"": 135, ""01101"": 249, ""00110"": 173, ""10110"": 83, ""00111"": 69, ""10010"": 101, ""01111"": 94, ""01000"": 167, ""00011"": 93, ""10111"": 77, ""11000"": 84, ""00100"": 217, ""01100"": 406, ""11111"": 84, ""11110"": 66, ""11001"": 79, ""01011"": 94, ""11010"": 57}",0.037109375,cz6v3141xvhg008ep6ng,ibm_brisbane,25,3.0,3.0,completed,0.037109375,2025-03-09T15:19:32.711Z,2025-03-09T15:20:46.320Z,2025-03-09T15:19:35.483Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:20:43', stop='2025-03-09 15:20:45', size=4096>)])",2.117594
completed,21,5,27,"{""y"": 8, ""cx"": 5, ""h"": 4, ""u"": 4, ""x"": 2, ""t"": 1, ""cz"": 1, ""tdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,8,ibm,target_depth_experiment,"{""1"": 2438, ""0"": 1658}",0.40478515625,cz6v3r7p6030008cxk3g,ibm_brisbane,27,2.0,2.0,completed,0.40478515625,2025-03-09T15:21:04.155Z,2025-03-09T15:21:10.240Z,2025-03-09T15:21:06.900Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:21:07', stop='2025-03-09 15:21:09', size=4096>)])",1.840093
completed,21,7,44,"{""u"": 10, ""x"": 8, ""cx"": 7, ""h"": 6, ""y"": 4, ""t"": 3, ""tdg"": 3, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,14,ibm,target_depth_experiment,"{""11"": 1487, ""00"": 1545, ""10"": 576, ""01"": 488}",0.377197265625,cz6v3xfkvm9g008gnqbg,ibm_brisbane,27,2.0,2.0,completed,0.377197265625,2025-03-09T15:21:25.348Z,2025-03-09T15:21:42.391Z,2025-03-09T15:21:27.951Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:21:39', stop='2025-03-09 15:21:41', size=4096>)])",1.87359
completed,21,9,57,"{""u"": 10, ""cx"": 9, ""h"": 8, ""y"": 8, ""s"": 5, ""sdg"": 5, ""x"": 4, ""measure"": 3, ""t"": 2, ""tdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,18,ibm,target_depth_experiment,"{""000"": 402, ""001"": 544, ""101"": 481, ""011"": 568, ""111"": 411, ""110"": 693, ""010"": 373, ""100"": 624}",0.09814453125,cz6v46r39f40008svt0g,ibm_brisbane,27,2.0,2.0,completed,0.09814453125,2025-03-09T15:22:03.721Z,2025-03-09T15:23:12.651Z,2025-03-09T15:22:06.541Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:23:09', stop='2025-03-09 15:23:11', size=4096>)])",1.9463249999999999
completed,21,11,66,"{""cx"": 11, ""h"": 10, ""t"": 10, ""tdg"": 10, ""x"": 4, ""y"": 4, ""s"": 4, ""u"": 4, ""sdg"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20,ibm,target_depth_experiment,"{""1001"": 163, ""0100"": 166, ""0110"": 86, ""1000"": 763, ""0000"": 1133, ""1111"": 314, ""1100"": 194, ""0101"": 86, ""0010"": 180, ""0111"": 211, ""1101"": 132, ""0001"": 167, ""0011"": 152, ""1010"": 141, ""1110"": 92, ""1011"": 116}",0.276611328125,cz6v4wkkvm9g008gnqgg,ibm_brisbane,27,3.0,3.0,completed,0.276611328125,2025-03-09T15:23:30.829Z,2025-03-09T15:26:32.688Z,2025-03-09T15:23:33.674Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:26:29', stop='2025-03-09 15:26:31', size=4096>)])",2.018831
